Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized
"Curchack, Fred",,,,,,AP,3300,501,6,4,2,2,1,3,1,1,,,,,1,,,,,,0,curchack,fred curchack
"Anjum, Zafar",,,,,,ARAB,1311,001,,26,,,1,,,,,,,,,,,,,,2,zxa110730,zafar anjum
"Stone, Winston","Ward, Lindsey K","Guyot, Natacha",,,,ARTS,1301,001,19,40,7,8,3,4,3,3,5,1,2,,3,,,,,,1,wxs034000,winston stone
"Stone, Winston","Johnson, Ryan L","Tran, Loan T",,,,ARTS,1301,002,12,35,15,9,8,3,5,5,2,,1,,3,,,,,,1,wxs034000,winston stone
"Miller, Cynthia M",,,,,,ARTS,2350,001,1,3,10,,2,,,1,,,,,2,,,,,,0,cmm016900,cynthia miller
"Copeland, Colette",,,,,,ARTS,2350,002,,5,6,1,1,3,1,,,,,,,,,,,,1,cxc132230,colette copeland
"Miranda, Jeffrey",,,,,,ARTS,3367,501,9,7,3,,,,,,,,,,,,,,,,0,jxm069000,jeffrey miranda
"Chen, Bei",,,,,,CHIN,1311,001,7,3,2,1,,,1,,1,1,,,,,,,,,1,bxc152730,bei chen
"Wang, Chen",,,,,,CHIN,1311,002,2,7,4,3,3,,1,1,1,,,,,,,,,,1,cxw133830,
"Kimzey, Blake G",,,,,,CRWT,2301,001,,4,10,1,2,,,,,,,,,,,,,,0,bgk140130,blake kimzey
"DiNuzzo, Brian",,,,,,CRWT,2301,002,,1,4,6,,1,3,1,,,,,2,,,,,,0,bxd141330,brian dinuzzo
"Kimzey, Blake G",,,,,,CRWT,2301,501,,8,6,2,,1,,,,,,,,,,,,,0,bgk140130,blake kimzey
"Johnson, Melissa A",,,,,,DANC,1310,001,9,28,5,1,3,1,,,,,,,,,,,,,2,maj140430,melissa johnson
"Johnson, Melissa A",,,,,,DANC,2332,001,10,5,3,,2,,,,1,,,,,,,,,,0,maj140430,melissa johnson
"Saba, Monica",,,,,,DANC,2334,001,4,5,,1,,1,,,,,,,1,,,,,,1,msaba,monica saba
"Petty, John E",,,,,,FILM,2332,501,2,4,17,9,10,9,6,,,,,1,3,,,,,,2,jep140330,john petty
"Fettouh, Maha K",,,,,,FREN,1311,001,,15,,,3,,,,,,,,1,,,,,,0,mkf101020,maha fettouh
"Fettouh, Maha K",,,,,,FREN,2311,001,,17,,,,,,,,,,,,,,,,,1,mkf101020,maha fettouh
"Webb, Elena G",,,,,,GERM,1311,001,7,5,,,2,1,,,,,,,1,,,,,,1,exw034000,elena webb
"Bennett, Gina G","D'Monte, Nikita",,,,,HIST,1301,001,,8,,,14,,,5,,,3,,12,,,,,,2,ggb170030,
"Schulze, Jeffrey","Hirshberg, Jeffrey",,,,,HIST,1301,002,3,4,6,3,12,11,3,14,8,2,5,2,10,,,,,,3,jxs072200,jeffrey schulze
"Johnson, Yvonne","Ahmed, Areeba S",,,,,HIST,1301,003,,16,,,28,,,21,,,13,,9,,,,,,3,yxj172130,yvonne johnson
"Schulze, Jeffrey","Minich, Joseph T",,,,,HIST,1301,004,,5,9,9,12,9,2,11,3,1,5,3,15,,,,,,4,jxs072200,jeffrey schulze
"Stewart, Whitney","Ssali, Madiina",,,,,HIST,1301,010,4,25,17,6,13,3,5,3,2,1,3,,5,,,,,,3,wxs160630,whitney stewart
"Schulze, Jeffrey","Williams, Harold T",,,,,HIST,1301,005,2,4,6,11,20,11,3,10,3,1,1,,9,,,,,,6,jxs072200,jeffrey schulze
"Johnson, Yvonne","Jacobs, Janet K",,,,,HIST,1301,006,,11,,,30,,,20,,,19,,4,,,,,,3,yxj172130,yvonne johnson
"Stewart, Whitney","Davis, Lauren R",,,,,HIST,2301,501,1,19,13,5,12,2,2,,3,,1,,10,,,,,,0,wxs160630,whitney stewart
"Farmer, J Michael",,,,,,HIST,3301,001,,3,4,,3,4,2,6,1,2,,,2,,,,,,0,jmf073000,michael farmer
"Ali, Shazia",,,,,,HUMA,1301,001,26,19,8,6,4,1,,1,1,,1,,,,,,,,0,shazia,ali shazia
"Ingrao, Peter J","Hashmi, Sarah J",,,,,HUMA,1301,002,18,7,4,11,14,3,5,2,,,,,1,,,,,,3,jingrao,peter ingrao
"Mortensen, Joan","Harrison, Macy T",,,,,HUMA,1301,003,,9,4,3,12,15,8,4,4,,3,,6,,,,,,2,jmorten,joan mortensen
"Mortensen, Joan",,,,,,HUMA,1301,004,,7,7,10,8,9,12,2,3,,1,,7,,,,,,4,jmorten,joan mortensen
