Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ARTS,4308,001,,3,2,,1,,,,,,1,,2,,"Durant, Stephanie D",,,,,,ddm043000,stephanie durant
CHIN,2311,001,5,1,1,,,1,,,,,1,,,,"Chen, Bei",,,,,,bxc152730,bei chen
COMD,7309,001,,6,,1,2,,,,,,,,,,"Hart, John",,,,,,jxh057100,john hart
ECON,6352,501,,2,4,,,1,,2,,,,,,,"Dumas, Lloyd",,,,,,ljdumas,lloyd dumas
EEDG,6302,302,,1,1,1,1,1,4,,,,,,,,"Bennett, Terrell R","Birjandtalab Golkhatm, Javad","Wang, Xianan",,,,trb052000,terrell bennett
MIS,6204,CW1,,3,,2,2,1,,1,,,,,,,"Hefley, William E",,,,,,weh150130,william hefley
MUSI,4322,001,,7,,,1,2,,,,,,,,,"Evans, Kathryn C",,,,,,kcevans,kathryn evans
CE,3110,103,1,5,,2,1,,,1,,,,,,,"Lee, Jeong-Bong","Choi, Ye I",,,,,jblee,jeong bong lee
CE,4390,001,1,,,2,2,,2,1,2,,,,,,"Nguyen, Nhut","Ozarslan, Omer F","Tran, Trung Hieu",,,,nhutnn,nhut nguyen
CS,6301,005,,10,,,,,,,,,,,,,"Thuraisingham, Bhavani","Belavadi, Vibha Chandramouli",,,,,bxt043000,bhavani thuraisingham
EPPS,6302,001,,8,,,2,,,,,,,,,,"Ho, Karl","Li, Xiao",,,,,kxh022100,karl ho
EPPS,6311,001,,5,3,,1,,,,,,,,1,,"Fass, Simon",,,,,,fass,simon fass
MIS,6346,002,,7,3,,,,,,,,,,,,"Henslee, Austin","Shankar, Santhosh",,,,,axh134230,austin henslee
REAL,3365,001,,,2,2,3,,1,1,,1,,,,,"DeCourcy, George A",,,,,,gad075000,george decourcy
BIOL,3102,008,,4,,1,1,2,2,,,,,,,,"Kim, Jung-Whan","Dahl, Haley C","Thomas-Jardin, Shayna E",,,,jxk132330,jung whan kim
