Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Sun, Yan",,,,,,ACCT,2301,002,6,7,9,8,6,2,5,9,3,4,,2,,,,,,,3,mha100020,mine aksu
"Aksu, Mine H","Hou, Liya",,,,,ACCT,2301,003,2,3,7,2,2,7,3,5,3,2,3,2,9,,,,,,12,lxh110020,liya hou
"Swaim, Stephanie R","Payne, Colton A",,,,,ACCT,2301,001,3,2,1,3,5,5,6,13,8,5,2,,9,,,,,,2,yxh136230,yaqin hu
"Troutman, Amy B","Payne, Colton A",,,,,ACCT,2301,005,3,13,8,10,11,6,4,5,,2,,1,1,,,,,1,0,zxf140730,zhongwen fan
"Dai, Zhonglan","Nathan, Brad",,,,,ACCT,2302,003,2,9,3,2,10,5,9,7,3,1,1,1,4,,,,,,2,kxz121730,kathy zolton
"Williams, Lisa C",,,,,,ACCT,2302,002,3,15,6,9,4,6,4,6,4,1,3,1,2,,,,,,1,kxz121730,kathy zolton
"Williams, Lisa C",,,,,,ACCT,2302,001,4,8,1,7,9,4,7,7,,4,3,2,3,,,,,,5,jpb063000,john barden
"Janakiraman, Surya","Jang, Youngki",,,,,ACCT,6202,0W1,,5,9,10,8,2,3,,,,,,,,,,,1,1,suryaj,surya janakiraman
"Janakiraman, Surya","Jang, Youngki",,,,,ACCT,6305,0W1,,6,3,6,5,1,2,,,,,,2,,,,,,0,suryaj,surya janakiraman
"Troutman, Amy B","Payne, Colton A",,,,,ACCT,6335,0W1,,7,20,15,3,3,,,,,,,,,,,,,2,amybass,amy troutman
"Goodrich, Mary Beth W","Vinayagam, Chidambara P",,,,,ACCT,3322,001,3,16,1,8,9,1,6,1,,,1,,1,,,,,,1,goodrich,mary beth goodrich
"Yehuda, Nir","Zhou, Xiaolu",,,,,ACCT,3331,001,3,3,10,8,6,8,5,4,,,5,,2,,,,,,3,rlf092000,rebecca files
"Zhou, Yibin","Li, Chenchen",,,,,ACCT,3331,002,3,4,3,3,3,4,3,4,1,,,,8,,,,,,0,rlf092000,rebecca files
"Li, Meng","Chu, Yu Fang",,,,,ACCT,3341,001,1,5,5,3,1,2,1,1,,,1,2,,,,,,,0,nataraj,ramachandra natarajan
"Li, Meng","Chu, Yu Fang",,,,,ACCT,3341,002,4,9,7,5,7,5,8,2,,2,3,3,2,,,,,,0,dac101000,daniel cohen
"Linsteadt, Chris C","Braughton, Caleb M",,,,,ACCT,4334,001,,5,,,17,1,,16,,,2,,,,,,,,0,ccl019000,chris linsteadt
"Linsteadt, Chris C","Braughton, Caleb M",,,,,ACCT,4334,501,,8,,,16,2,,7,2,,2,,2,,,,,1,0,ccl019000,chris linsteadt
"Bowen, Richard M","Shavrina, Irina V",,,,,ACCT,4336,001,4,5,11,2,7,10,8,6,3,,,,1,,,,,,1,rxb073100,richard bowen
"Hagen, John C","Juarez Herrera, Pablo J",,,,,ACCT,4342,501,2,3,11,5,9,7,2,1,3,1,1,,3,,,,,,0,jxj091000,jennifer johnson
"Janakiraman, Surya","Jang, Youngki",,,,,ACCT,6202,501,,6,6,3,4,,,,,,,,,,,,,,0,suryaj,surya janakiraman
"Loumioti, Maria","Chu, Yu Fang",,,,,ACCT,6305,501,,9,,1,2,,,,,,,,,,,,,,0,nbo150030,naim ozel
"Zhang, Jieying","Song, Dongye","Hu, Yaqin",,,,ACCT,6332,001,,8,10,7,5,7,2,2,,,,,,,,,,,1,kxz121730,kathy zolton
"Zhang, Jieying","Song, Dongye","Hu, Yaqin",,,,ACCT,6332,003,,3,4,2,2,2,1,1,,,,,,,,,,,0,jxz146230,jieying zhang
"Zolton, Kathy","Shavrina, Irina V",,,,,ACCT,6333,501,,16,,,20,,,12,,,,,1,,,,,,2,kxz121730,kathy zolton
"Mauriello, Joseph A","Hale, Seth M",,,,,ACCT,6336,501,,11,10,12,2,2,,,,,,,,,,,,,0,jam151430,joseph mauriello
"Li, Bin","Shekarchizadeh Esfahani, Sharif",,,,,ACCT,6344,001,,8,1,2,13,1,,1,,,,,,,,,,,0,rxb073100,richard bowen
"McCuistion, Dennis",,,,,,ACCT,6377,501,,23,20,1,,1,,,,,,,,,,,,,0,dxm094000,dennis mccuistion
"Mauriello, Joseph A","Braughton, Caleb M",,,,,ACCT,6380,501,,12,8,9,7,,,,,,,,1,,,,,,4,jam151430,joseph mauriello
"Mauriello, Joseph A","Hale, Seth M",,,,,ACCT,6382,501,,11,7,1,,,,,,,,,,,,,,,0,jam151430,joseph mauriello
"Kimzey, Jackie","Bai, Xiaoou",,,,,ENTP,6370,501,,6,11,12,15,2,,,,,,,,,,,,,0,jxk092000,jackie kimzey
"Shah, Rajiv","Kathuria, Nishant",,,,,ENTP,6375,501,,2,4,2,3,1,,,,,,,,,,,,,0,rxs079000,rajiv shah
"Pedigo, Madison F",,,,,,ENTP,6315,0W1,,4,2,5,1,,,,,,,,,,,,,,0,mfp013000,madison pedigo
"Fleming, Forney F",,,,,,HMGT,6320,501,,37,7,5,1,,,,,,,,,,,,,1,0,fwf081000,forney fleming
"Ramanathan, Kannan",,,,,,HMGT,6321,501,,11,8,,3,3,,,,,,,,,,,,1,0,kxr087000,kannan ramanathan
"Ziegler, Laurie","Li, Jianan","Gupta, Ashna",,,,HMGT,6324,001,,6,,,,,,,,,,,,,,,,,0,ziegler,laurie ziegler
