Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Troutman, Amy B",,,,,,ACCT,6335,SW1,,1,3,4,3,,1,1,,,,,,,,,,,1,amybass,amy troutman
"Solcher, Steven J",,,,,,ACCT,6301,CW1,,7,3,5,3,,,,,,,,,,,,,1,,sjs107020,steven solcher
"Cready, William M","Hou, Liya",,,,,ACCT,6331,0W1,,7,,3,7,,,3,,,,,,,,,,,1,wmc041000,william cready
"Zolton, Kathy",,,,,,ACCT,6333,5U1,,8,,,10,,,4,,,,,,,,,,1,1,kxz121730,kathy zolton
"Gamino, John P",,,,,,ACCT,3350,5U1,2,6,2,3,6,2,2,2,,1,,,,,,,,,,jpg140630,john gamino
"Johnson, Jennifer",,,,,,ACCT,4342,5U1,1,2,6,4,4,2,4,1,,1,,,1,,,,,,,jxj091000,jennifer johnson
"Swaim, Stephanie R",,,,,,ACCT,6301,5U1,,10,,,8,,,3,,,,,5,,,,,,1,srp065000,stephanie poindexter swaim
"Gamino, John P",,,,,,ACCT,6353,5U1,,10,2,6,5,1,2,1,,,,,,,,,,,,jpg140630,john gamino
"Goodrich, Mary Beth W","Hou, Liya",,,,,ACCT,6338,0W1,,11,4,4,4,2,,,,,,,,,,,,,4,goodrich,mary beth goodrich
"Barden, John P",,,,,,ACCT,6301,CH1,,29,,,,,,,,,,,,,,,,,,jpb063000,john barden
"Paul, Abraham",,,,,,ACCT,6373,5U1,,,4,,23,,,2,,,,,,,,,,,,axp180036,abraham paul
"Cready, William M","Hou, Liya",,,,,ACCT,6330,0W1,,9,,4,4,,,5,,,,,2,,,,,,6,wmc041000,william cready
"Linsteadt, Chris C",,,,,,ACCT,6334,0W1,,12,,,11,,,6,,,,,,,,,,,2,ccl019000,chris linsteadt
"Janakiraman, Surya","Fan, Zhongwen",,,,,ACCT,6202,0W2,,3,10,5,10,1,,,,,,,1,,,,,1,,suryaj,surya janakiraman
"Huang, Ying","Zhou, Xiaolu",,,,,ACCT,6305,5U1,,10,8,3,8,2,,,,,,,,,,,,,,yxh124430,ying huang
"Janakiraman, Surya","Fan, Zhongwen",,,,,ACCT,6305,0W1,,7,6,8,5,3,2,,,,,,1,,,,,,,suryaj,surya janakiraman
"Johnson, Jennifer",,,,,,ACCT,3341,0U1,3,3,3,5,3,4,5,2,1,4,,,,,,,,,,jxj091000,jennifer johnson
"Hes, Christopher A",,,,,,ACCT,2302,5U1,,4,4,3,9,3,2,1,1,,4,1,2,,,,,,,cah041000,christopher hess
"Zhou, Yibin","Li, Chenchen",,,,,ACCT,3331,5U1,,6,3,3,5,4,2,7,4,,1,,,,,,,,,yxz066000,yibin zhou
"Zolton, Kathy",,,,,,ACCT,6333,0W1,,12,,,15,,,9,,,,,,,,,,,1,kxz121730,kathy zolton
"Goodrich, Mary Beth W","Hou, Liya",,,,,ACCT,6388,5U1,,29,6,1,,1,,,,,,,1,,,,,,,goodrich,mary beth goodrich
"Huang, Ying","Zhou, Xiaolu",,,,,ACCT,2301,5U1,,9,3,2,8,6,3,5,1,,1,,,,,,,,,yxh124430,ying huang
"Bortz, Tiffany A",,,,,,ACCT,3332,5U1,2,5,,3,10,5,2,6,1,2,5,4,1,,,,,,,tabortz,tiffany bortz
"Gurun, Umit",,,,,,ACCT,6344,0W1,,7,8,13,10,3,3,1,,,,,,,,,,,2,ugg041000,umit gurun
"Patino, Daniel I","Chu, Yu Fang",,,,,ACCT,4336,5U1,1,3,9,4,5,13,3,2,3,,2,1,,,,,,,,dip101020,
"Cheng, Samuel",,,,,,ACCT,6365,5U1,,12,12,12,4,3,3,,,,,,,,,,,1,,sxc109021,samuel cheng
"Hes, Christopher A",,,,,,ACCT,4334,5U1,,3,2,8,9,8,10,3,1,2,,,1,,,,,,,cah041000,christopher hess
"Solcher, Steven J",,,,,,ACCT,6353,0W1,,8,27,8,4,2,,,,,,,,,,,,,1,sjs107020,steven solcher
"Barden, John P","Zhou, Xiaolu",,,,,ACCT,6373,0W1,,19,,,30,,,2,,,,,,,,,,,,jpb063000,john barden
"Kromer, Jeffrey",,,,,,ACCT,6384,0W1,,51,,,2,,,,,,,,,,,,,,2,jrk013000,jeffrey kromer
"Troutman, Amy B",,,,,,ACCT,6335,5U1,,40,18,2,,,,,,,,,,,,,,,,amybass,amy troutman
"McWilliams, Steven P",,,,,,ACN,6V81,0U1,,15,2,1,,,,,,,,,,,,,,,,sxm127330,steven mcwilliams
"Rosen, Mark S",,,,,,AHST,2331,091,,14,2,2,,,,,,,,,,,,,,,,mxr088000,mark rosen
"Goode, Dianne H",,,,,,AHST,3315,091,6,4,2,4,2,3,4,3,2,2,1,1,4,,,,,1,2,dgoode,dianne goode
"Werhnyak, Larissa",,,,,,AMS,2341,051,,2,3,1,2,2,,1,,,,,1,,,,,,2,lxw163630,larissa werhnyak
"Winstead, Elizabeth L",,,,,,AMS,3316,0W1,18,4,3,1,1,,,1,,,,,1,,,,,,,lwm061000,elizabeth winstead
"Winstead, Elizabeth L",,,,,,AMS,3350,0W1,15,4,3,,1,,,1,2,,,,2,,,,,,1,lwm061000,elizabeth winstead
"Winstead, Elizabeth L",,,,,,AMS,4385,0W1,9,15,13,1,4,2,,2,2,,,,1,,,,,,,lwm061000,elizabeth winstead
"Imaoka, Laura",,,,,,ATCM,3301,0U1,,2,9,6,5,4,,2,1,,,,,,,,,,,lxi170030,laura imaoka
"Martin, Jeffrey S",,,,,,AUD,7V82,5U1,,,,,,,,,,,,,,,,,14,,,jsm016600,
"Cokely, Carol G",,,,,,AUD,6316,0U1,,8,5,1,,,,,,,,,,,,,,,,cgc016200,
"Golboro, Andrew",,,,,,AUD,6352,5U1,,5,6,3,,,,,,,,,,,,,,,,axg165431,
"Thibodeau, Linda K",,,,,,AUD,7326,5U1,,13,2,,,,,,,,,,,,,,,,,thib,linda thibodeau
"Thibodeau, Linda K",,,,,,AUD,7325,0S1,,15,1,,,,,,,,,,,,,,,1,,thib,linda thibodeau
"Henry, Sarah E",,,,,,BCOM,3200,0U1,4,3,4,3,1,1,,1,,1,,,2,,,,,,,seh150530,sarah henry
"Watson, John M","Kemp, Ayenda",,,,,BCOM,4350,5E1,,9,15,2,3,2,,,,,,,,,,,,,,jmw077000,john watson
"de los Santos, Veronica",,,,,,BCOM,4350,5U1,30,2,2,1,,,,,,,,,,,,,,,,vxd171930,veronica de los santos
"Walton, Michaella",,,,,,BCOM,3310,0U1,3,6,7,6,3,2,3,2,2,,,,3,,,,,,,mrw170730,
"Smallwood, Margaret G","Kim, Kyun",,,,,BCOM,3310,0U2,,15,10,1,7,1,1,,1,,1,,,,,,,,,meg012400,margaret smallwood
"de los Santos, Veronica",,,,,,BCOM,4350,0U1,24,7,,,,1,2,,,,2,1,,,,,,,,vxd171930,veronica de los santos
"Walton, Michaella",,,,,,BCOM,3310,5U1,1,11,6,5,4,2,2,3,,1,1,,,,,,,,,mrw170730,
"Smallwood, Margaret G","Kim, Kyun",,,,,BCOM,3310,0U3,,15,12,4,3,3,,,,,,,,,,,,,,meg012400,margaret smallwood
"Smallwood, Margaret G","Kim, Kyun",,,,,BCOM,4350,0U2,1,23,12,1,1,,,,,,,,,,,,,,,meg012400,margaret smallwood
"Newcomb, Rebecca G",,,,,,BCOM,3200,5U1,,30,,2,6,,2,,,,,,,,,,,,,rgn100020,rebecca newcomb
"Borovkov, Irina G","Wei, Hong","Thomas-Jardin, Shayna E",,,,BIOL,4380,0U1,,,,,,,,,,,,,,,,,,,,ixb053000,irina borovkov
"Borovkov, Irina G",,,,,,BIOL,4380,1U1,,2,1,2,4,1,1,,,,,1,,,,,,,,ixb053000,irina borovkov
"Burr, John G",,,,,,BIOL,6341,5U1,,8,2,1,1,,,,,,,,,,,,,,,burr,john burr
"Burr, John G",,,,,,BIOL,4366,5U1,,3,3,2,2,2,,1,,,,,1,,,,,,,burr,john burr
"Hannig, Ernest","Slape, Coreen M","Ambagaspitiye Gedara, Sankalya S","Kunder, Nikesh Prakash","Mehta, Iti","Avadhanam, Nymisha",BIOL,3520,0U1,,,,,,,,,,,,,,,,,,,,hannig,ernest hannig
"Hannig, Ernest",,,,,,BIOL,3520,8U1,,1,,,,2,1,,1,,3,4,2,,,,,,,hannig,ernest hannig
"Yu, Wen H",,,,,,BIOL,3456,0U1,,,,,,,,,,,,,,,,,,,,why061000,wen ho yu
"Gonzalez, Cristina M","Sendelbach, Dorothy M",,,,,BIOL,3V82,051,,,,,,,,,,,,,,,20,,,,,cxg042000,cristina gonzalez
"Srikanth, Uma",,,,,,BIOL,3102,0U1,6,4,2,1,4,3,1,,,,,,,,,,,,,ukrish,uma srikanth
"Rippel, Scott A","Song, Ming",,,,,BIOL,3380,1U3,2,3,3,2,3,3,5,,,,,,,,,,,,,rippel,scott rippel
"Lin, Wen J","Do, Hung P","Wang, Haozhe","Chen, Hao","Xia, Jing","Tian, Jing",BIOL,2281,1U1,2,5,4,6,3,1,,,,,,,,,,,,,,wenju,wen ju lin
"Lin, Wen J","Tian, Jing","Xia, Jing","Chen, Hao","Wang, Haozhe","Do, Hung P",BIOL,2281,1U3,2,6,3,1,,5,,3,1,,,1,,,,,,,,wenju,wen ju lin
