Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
PPPE,6343,501,,5,3,,,,,,,,,,1,0,"Boots, Denise P","Saucedo De La Fuente, David",,,,,dpb062000,denise boots
OPRE,7310,001,,4,4,1,,,,,,,,,,0,"Cakanyildirim, Metin",,,,,,metin,metin cakanyildirim
HUAS,7360,001,,8,,,,,,,,,,,,0,"Warren, Shilyh J",,,,,,sjw120030,shilyh warren
HUAS,6345,501,,7,,1,,,,1,,,,,,0,"Curchack, Fred",,,,,,curchack,fred curchack
BMEN,4388,005,,1,4,,1,,1,1,,,,,1,0,"Meyer, Clark A","Pacheco, Joe","Polk, Todd W","Upasham, Sayali S",,,cam140130,clark meyer
SE,4347,501,1,5,1,1,1,,,,,,,,,0,"Khan, Ziaullah","Yu, Xinyue",,,,,kkhan,ziaullah khan
ED,4344,502,,2,1,3,1,1,,,,,,,1,0,"Huisman, Ingrid",,,,,,ibh013000,ingrid huisman
MKT,6338,001,,5,,2,2,,,,,,,,,0,"Islam, Naser","Muthukrishnan, Bharathi",,,,,nxi110630,naser islam
ARTS,2316,501,2,7,1,,,,,,,,,,,0,"Egan, Trey T",,,,,,tte150130,trey egan
CHIN,3365,001,6,3,1,,,,,,,,,,,0,"Zhang, Lei",,,,,,lxz190010,lei zhang
COMM,1311,510,6,,2,,,1,,,,,,,1,0,"Davis, Letitia",,,,,,,letitia davis
JAPN,3311,501,1,1,,3,1,2,,1,,,,,1,0,"Kroska, Nami",,,,,,nxk167330,nami kroska
LANG,4348,001,6,3,1,,,,,,,,,,,0,"Camacho-Guardado, Lorena",,,,,,lxc163230,lorena camacho guardado
LIT,3319,001,,,5,3,,,,,,,,,1,1,"Cohen, Milton",,,,,,mcohen,milton cohen
LIT,3337,501,,4,,1,4,,,1,,,,,,0,"Schulte, Rainer",,,,,,schulte,rainer schulte
LIT,4329,002,,10,,,,,,,,,,,,0,"Redman, Timothy P","Rosen, Mark S",,,,,,timothy redman
RHET,4303,501,,3,1,,4,1,,,,,,,1,0,"Gooch, John C",,,,,,jcg053000,john gooch
THEA,2372,002,,5,,,3,1,,,,,,,1,0,"Lingo, Kathy A",,,,,,klingo,kathy lingo
ATCM,4397,002,,2,3,2,2,,,,,,,,,1,"Schich, Maximilian",,,,,,,maximilian schich
ATCM,6380,001,,4,3,2,1,,,,,,,,,0,"Sung, Wendy",,,,,,wxs172630,wendy sung
COMD,7305,001,,9,,,1,,,,,,,,,0,"Ulatowska, Hanna K",,,,,,hanna,hanna ulatowska
COMD,7309,001,,8,,,2,,,,,,,,,0,"Hart, John",,,,,,jxh057100,john hart
HCS,6350,001,,8,,,2,,,,,,,,,0,"Holub, Shayla C",,,,,,sch052000,shayla holub
HCS,7310,001,,6,1,2,1,,,,,,,,,0,"Ackerman, Robert A",,,,,,raa110030,robert ackerman
HCS,7310,002,,8,1,1,,,,,,,,,,0,"Abdi, Herve","Yu, Ju-Chi",,,,,herve,herve abdi
HCS,7V71,001,,10,,,,,,,,,,,,0,"Dollaghan, Christine",,,,,,cxd062000,christine dollaghan
BMEN,4388,004,1,2,1,1,2,1,2,,,,,,,0,"Pacheco, Joe","Meyer, Clark A","Polk, Todd W","Upasham, Sayali S",,,jxp142030,joe pacheco
BMEN,6345,001,,7,,3,,,,,,,,,,0,"Schmidtke, David W",,,,,,dws140430,david schmidtke
CE,4390,502,1,1,,1,1,6,,,,,,,,0,"Hao, Shuang","Li, Shuo",,,,,sxh178730,shuang hao
EE,3301,001,1,1,1,,2,1,,1,2,,,,1,0,"Helms, Robert","Wang, Yifan",,,,,rxh033000,robert helms
EEDG,5325,501,,10,,,,,,,,,,,,0,"Swartz, William P","Huang, Qiongdan",,,,,wps100020,william swartz
EEMF,7V82,001,,5,5,,,,,,,,,,,0,"Iyer, Mahadevan Krishna",,,,,,,mahadevan krishna iyer
EEPE,7354,501,,10,,,,,,,,,,,,0,"Gohil, Ghanshyamsinh","Nguyen, Van Thuan",,,,,gxg172530,ghanshyamsinh gohil
MECH,4381,010,,3,1,2,1,3,,,,,,,,0,"Hart, Robert A","Little, Ryan C","Upasham, Sayali S",,,,rxh124630,robert hart
MECH,6337,501,,7,3,,,,,,,,,,,0,"Reynolds, Samuel E",,,,,,ser180002,samuel reynolds
MSEN,3301,001,6,2,,1,,,,,,,,,,1,"Quevedo-Lopez, Manuel","Mosur Saravana Murthy, Lakshmi Narayanan",,,,,mxq071000,manuel quevedo lopez
MSEN,5300,001,,3,1,2,3,,,,,,,,,1,"Gelb, Lev D","Mosur Saravana Murthy, Lakshmi Narayanan",,,,,ldg102020,lev gelb
SE,3340,001,,4,,1,1,,1,,3,,,,,0,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen
SE,3340,004,,2,1,,1,1,2,1,,1,1,,,0,"Mazidi, Karen J",,,,,,kjm160430,karen mazidi
SE,3354,003,3,1,,2,1,1,,2,,,,,,0,"Wei, Shiyi","Zhang, Zenong",,,,,sxw174630,shiyi wei
