Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
EERF,7V89,303,,,,,,,,,,,,,,0,,,,,"Heins, Matthew S",,,,,,msh130130,matthew heins
BMEN,1208,110,2,1,1,,1,,,3,,,,,,2,,,,,"Ardestani Khoubrouy, Soudeh","Jayanand, Kishan",,,,,sxa074200,soudeh ardestani khoubrouy
BMEN,1208,102,1,,2,1,2,1,1,1,,,,,,1,,,,,"Meyer, Clark A","Ravichandran, Arul Vigneswar",,,,,cam140130,clark meyer
SE,6387,MH1,,5,2,2,,,,,,,,,,1,,,,,"Gupta, Neeraj K",,,,,,nkg140130,neeraj gupta
SE,4348,006,,3,,1,2,,,,2,,,,1,1,,,,,"Alagar, Sridhar","Wang, Huaduo",,,,,sxa173731,sridhar alagar
CHIN,2311,001,3,1,3,1,,,,,1,,,,,1,,,,,"Chen, Bei",,,,,,bxc152730,bei chen
PSCI,4396,HN2,3,3,2,1,,,,,,,,,,0,,,,,"Dow, Douglas C",,,,,,dougdow,douglas dow
STAT,4355,001,,6,2,,,1,,,,,,,,1,,,,,"Ammann, Larry",,,,,,ammann,larry ammann
EE,3120,105,,7,,,2,,,,,,,,,1,,,,,"Zhou, Dian","Wang, Xianan","Wang, Yifan",,,,zhoud,dian zhou
BCOM,3310,5E1,,,1,1,1,1,1,2,1,,,,1,1,,,,,"McCuistion, Dennis",,,,,,dxm094000,dennis mccuistion
ATCM,6357,001,,4,2,2,1,,,,,,,,,0,,1,,,"Nguyen, Josef D",,,,,,jdn160330,josef nguyen
ARTS,3369,001,,8,,,1,,,,,,,,,0,,1,,,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3379,501,,5,,,,,,2,,,1,,1,1,,,,,"Rushing, Rachel",,,,,,,rachel rushing
MATH,6390,001,,4,2,2,1,,,,,,,,,0,,,,,"Ohsawa, Tomoki",,,,,,txo140730,tomoki ohsawa
EESC,6353,001,,5,2,,2,1,,,,,,,,0,,,,,"Al-Dhahir, Naofal M","Marzban, Mohamed F",,,,,nxa028000,naofal al dhahir
BMEN,3150,104,5,2,,2,1,,,,,,,,,0,,,,,"Ali, Tariq M","Abraham, Alejandro",,,,,tma051000,tariq ali
NSC,3344,001,2,2,3,1,1,,,1,,,,,,0,,,,,"Mathew, Betty S","Doli, Evdoxia",,,,,bsm170230,betty mathew
SYSM,6315,501,,1,6,1,1,,1,,,,,,,0,,,,,"Shah, Rajiv",,,,,,rxs079000,rajiv shah
ACTS,6303,501,,2,3,4,1,,,,,,,,,0,,,,,"Lu, Wenyi",,,,,,wxl153330,wenyi lu
EERF,6396,302,,3,3,1,2,1,,,,,,,,0,,,,,"Lehmann, Randall E","Gemsheim, Alex J",,,,,rel041000,randall lehmann
GEOS,1104,101,,,,,2,,,6,2,,,,,0,,,,,"Pujana, Ignacio","Lee, Jaewook",,,,,pujana,ignacio pujana
EERF,6396,303,,1,1,1,5,1,1,,,,,,,0,,,,,"Lehmann, Randall E","Gemsheim, Alex J",,,,,rel041000,randall lehmann
HUSL,6378,001,,1,7,1,1,,,,,,,,,0,,,,,"Ozsvath, Zsuzsanna",,,,,,zozsvath,zsuzsanna ozsvath
BMEN,4389,004,1,1,4,2,1,,1,,,,,,,0,,,,,"Pacheco, Joe","Polk, Todd W",,,,,jxp142030,joe pacheco
CE,3110,102,1,1,1,,1,2,1,,2,,1,,,0,,,,,"Lee, Gil S","Ren, Jiajun",,,,,gslee,gil lee
BMEN,4389,002,,2,2,3,,2,,1,,,,,,0,,,,,"Polk, Todd W","Pacheco, Joe",,,,,twp017000,todd polk
FERM,6311,FS1,,2,4,2,2,,,,,,,,,0,,,,,"Scott, James A",,,,,,jas076100,james scott
BMEN,7341,004,,3,4,1,2,,,,,,,,,0,,,,,"Porter, Benjamin A",,,,,,bap061000,benjamin porter
BMEN,1208,109,,4,2,2,2,,,,,,,,,0,,,,,"Ardestani Khoubrouy, Soudeh","Dolui, Swapnil",,,,,sxa074200,soudeh ardestani khoubrouy
EE,3110,102,,5,2,,2,,1,,,,,,,0,,,,,"Lee, Gil S","Ren, Jiajun",,,,,gslee,gil lee
EPCS,3100,001,,7,1,,1,,,1,,,,,,0,,,,,"Gans, Nicholas R",,,,,,nrg092000,nicholas gans
ENTP,4V00,001,,10,,,,,,,,,,,,0,,,,,"Chambers, Bryan D",,,,,,bdc160330,bryan chambers
BMEN,4389,003,,3,1,2,,2,2,,,,,,,0,,,,,"Polk, Todd W","Pacheco, Joe",,,,,twp017000,todd polk
HONS,3199,H12,,10,,,,,,,,,,,,0,,,,,"Harpham, Edward",,,,,,harpham,edward harpham
SYSM,6337,SS1,,8,2,,,,,,,,,,,0,,,,,"Janakiraman, Surya","He, Jiapeng",,,,,suryaj,surya janakiraman
STAT,7338,001,,10,,,,,,,,,,,,0,,,,,"Gel, Yulia",,,,,,yxg142030,yulia gel
PPPE,6312,0W1,,5,4,1,,,,,,,,,,0,,,,,"Skaggs, Sheryl L",,,,,,slskaggs,sheryl skaggs
MSEN,6383,501,,10,,,,,,,,,,,,0,,,,,"Kim, Jiyoung",,,,,,jxk041000,jiyoung kim
CHEM,5341,001,,7,,,3,,,,,,,,,0,,,,,"Chan, Julia Y",,,,,,jyc130130,julia chan
CE,3120,105,,7,,,2,,,1,,,,,,0,,,,,"Zhou, Dian","Wang, Xianan","Wang, Yifan",,,,zhoud,dian zhou
SE,4348,003,,1,,1,1,2,,2,,,,1,2,0,,,,,"Alagar, Sridhar","Guo, Jianxiong",,,,,sxa173731,sridhar alagar
MECH,3120,101,4,2,1,1,1,,,,,,,,1,0,,,,,"Hassanipour, Fatemeh","Zaherisarabi, Shadi","Jiang, Lin",,,,fxh091000,fatemeh hassanipour
FERM,6306,FS1,,7,2,1,,,,,,,,,,0,,,,,"Song, Kaisheng",,,,,,,kaisheng song
ARTS,3379,002,,2,2,3,1,,,,,,,,2,0,,,,,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer
CE,3101,105,3,4,2,,,,,,,,,,1,0,,,,,"Heins, Matthew S","Li, Chen",,,,,msh130130,matthew heins
GEOS,1103,102,1,1,1,1,2,2,1,,,,,,1,0,,,,,"Griffin, William R",,,,,,griffin,william griffin
SE,4348,002,,1,3,,,1,2,,2,,,1,,0,,,,,"Ozbirn, Greg A",,,,,,ozbirn,greg ozbirn
OPRE,6367,PW1,,10,,,,,,,,,,,,0,,,,,"Szot, James","Rajamani, Divakar",,,,,,james szot
EE,3101,105,4,4,,,,1,,,,,,1,,0,,,,,"Heins, Matthew S","Li, Chen",,,,,msh130130,matthew heins
GEOS,3470,301,,,,,,,,,,,,,,0,,,,,"Pirouz, Mortaza","Johnson, Samuel P",,,,,mxp180004,mortaza pirouz
MATH,2414,347,,,,,,,,,,,,,,0,,,,,"Aman, Kelly",,,,,,kxa143530,kelly aman
CE,4370,303,,,,,,,,,,,,,,0,,,,,"Carrion Schaefer, Benjamin",,,,,,bxc162630,benjamin carrion schaefer
EE,1202,305,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Mohamed, Ahmed M",,dcc095020,diana cogan
CE,1202,301,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Vankayalapati, Bhanu Teja","Chen, Pengyuan",,dcc095020,diana cogan
CHIN,2312,001,9,,,1,,,,,,,,,,1,,,,,"Shi, Shuai",,,,,,sxs180130,shuai shi
EE,4371,501,,,1,3,3,,2,,1,,,,,1,,,,,"Lee, Jeong-Bong",,,,,,jblee,jeong bong lee
ACCT,4301,001,2,1,2,2,1,1,1,,,,,,,1,,,,,"Narayan, Ravishankar L","Banda, Sanjana",,,,,rln130030,ravishankar narayan
MAS,6V08,001,,10,,,,,,,,,,,,0,,1,,,"Ozer, Ali O","Simsek, Ahmet S",,,,,,ali ozer
RHET,1302,507,,1,3,2,,,,,,1,,,3,1,,,,,"Manes, Christopher L",,,,,,clm036000,christopher manes
HUAS,7360,001,,8,1,1,,,,,,,,,,0,,1,,,"McLean, Adrienne L",,,,,,amclean,adrienne mclean
CE,3345,002,2,2,1,,3,3,,,,,,,,0,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan
EE,3120,103,,10,,,,,,,,,1,,,0,,,,,"Zhou, Dian","Wang, Yifan","Wang, Xianan",,,,zhoud,dian zhou
CE,3101,102,1,4,3,1,2,,,,,,,,,0,,,,,"Heins, Matthew S","Nahar, Lubaba M",,,,,msh130130,matthew heins
ACN,7372,002,,9,2,,,,,,,,,,,0,,,,,"Krawczyk, Daniel C",,,,,,dck061000,daniel krawczyk
CE,3345,001,,3,,,3,2,1,1,,,,,1,0,,,,,"Ozbirn, Greg A",,,,,,ozbirn,greg ozbirn
SE,3345,002,2,,1,2,1,3,1,1,,,,,,0,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan
FERM,6331,FS1,,11,,,,,,,,,,,,0,,,,,"Zemoodeh, Amir",,,,,,axz120930,amir zemoodeh
MECO,6312,003,,5,4,2,,,,,,,,,,0,,,,,"Joo, Joonhwi","Zhu, Yifan",,,,,jxj180020,joonhwi joo
HUSL,6324,501,,10,,1,,,,,,,,,,0,,,,,"Greene, Kendra",,,,,,kxg180038,kendra greene
SE,3345,003,,1,3,2,3,2,,,,,,,,0,,,,,"Chida, Anjum",,,,,,axc157030,anjum chida
SE,3354,001,,3,2,1,2,1,,1,,,,,1,0,,,,,"Cankaya, Ebru C","Wang, Xiaoyu",,,,,exc067000,ebru cankaya
MECH,4110,105,,2,3,3,1,,1,,1,,,,,0,,,,,"Li, Yaoyu","Kumar, Devesh","Wu, Zhongyou","Li, Changyuan",,,yxl115230,yaoyu li
ED,3345,501,,6,2,,1,,,2,,,,,,0,,,,,"McNulty, Angela B",,,,,,mcnulty,angela mcnulty
EECT,7327,001,,7,4,,,,,,,,,,,0,,,,,"Liu, Jin",,,,,,jinliu,jin liu
EE,3111,103,5,1,2,2,,,,,1,,,,,0,,,,,"Lee, Hoi","Liang, Jingchen",,,,,hxl054000,hoi lee
OPRE,6390,501,,6,,,5,,,,,,,,,0,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,,lot013000,luell thompson
ENTP,4335,0W2,2,1,3,,1,1,,1,,,,2,,0,,,,,"Edsel, Alexander D","Gupta, Ashna",,,,,ade012000,alexander edsel
LIT,3339,501,,2,2,1,4,2,,,,,,,,0,,,,,"Greer, Erin",,,,,,exg180013,erin greer
