Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,2301,001,8,5,6,7,7,3,5,1,1,2,,,2,6,3,,3,"Tatiparti, Venu Madhav",,,,,,yxh136230,yaqin hu
ACCT,2301,002,4,12,6,11,6,2,4,3,,,,,,6,2,,2,"Sandhu, Gurvinder",,,,,,mha100020,mine aksu
ACCT,2301,003,3,5,11,5,5,4,2,1,3,1,,,2,6,5,,6,"Song, Dongye",,,,,,lxh110020,liya hou
ACCT,2301,004,1,9,4,8,10,7,,2,1,1,1,,1,11,2,,2,"Gencer, Nur Pinar",,,,,,mha100020,mine aksu
ACCT,2301,005,5,8,6,11,3,7,2,1,2,,,,,13,3,,1,"Files, Rebecca L","Burnette, Naomi R",,,,,zxf140730,zhongwen fan
ACCT,2301,006,3,11,8,11,4,2,,,,,,,2,14,1,,7,"Files, Rebecca L","Burnette, Naomi R",,,,,hxk130930,hoyoun kyung
ACCT,2301,007,2,8,11,7,8,6,3,3,,1,1,,,12,1,,2,"Li, Meng","Benny, Keerthy",,,,,xxz142230,xiaolu zhou
ACCT,2301,009,6,6,4,3,12,5,2,2,3,2,2,5,2,7,,,4,"Zhou, Yibin","Chaturvedi, Sneha",,,,,sxm079200,stanimir markov
ACCT,2301,010,2,11,10,10,5,7,3,5,1,,,,2,7,2,,0,"Li, Meng","Benny, Keerthy",,,,,mxl120531,meng li
ACCT,2301,011,,9,11,7,10,4,2,4,2,2,,,,12,,,2,"Li, Meng","Benny, Keerthy",,,,,mxl120531,meng li
ACCT,2301,501,,13,,5,5,1,4,2,1,2,1,,5,8,,,10,"Nathan, Brad",,,,,,sxs110431,sharif esfahani
ACCT,2301,HON,22,9,8,6,5,1,,,1,,,,,5,,,0,"Files, Rebecca L","Burnette, Naomi R",,,,,amybass,amy troutman
ACCT,2302,001,3,5,7,7,10,,2,3,3,,6,,1,7,3,,3,"Zolton, Kathy","Frendo, Derek J",,,,,jpb063000,john barden
ACCT,2302,002,6,6,7,5,6,,1,3,1,,4,,2,9,2,,6,"Zolton, Kathy","Frendo, Derek J",,,,,kxz121730,kathy zolton
ACCT,2302,003,3,15,5,6,4,2,,2,3,,3,1,3,8,2,,2,"Copat, Rafael","Frendo, Derek J",,,,,kxz121730,kathy zolton
ACCT,2302,004,3,18,7,7,9,2,2,,,1,,,1,7,,,3,"Barden, John P","Herr-Perez, Noe C",,,,,jpb063000,john barden
ACCT,2302,005,5,9,5,6,6,5,1,2,,1,2,1,,10,2,,4,"Copat, Rafael","Frendo, Derek J",,,,,jpb063000,john barden
ACCT,2302,0W1,4,7,15,9,3,2,2,2,1,,,,,1,1,,2,"Janakiraman, Surya","Jeong, Sihyun",,,,,suryaj,surya janakiraman
ACCT,2302,501,1,3,6,3,4,3,1,3,4,,3,,5,3,1,,8,"Hes, Christopher A","Herr-Perez, Noe C",,,,,cah041000,christopher hess
