Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,2301,5U1,4,3,1,4,8,2,3,8,,6,,6,2,,,"Zhou, Yibin","Song, Dongye",,,,,yxh124430,ying huang
ACCT,2302,5U1,1,4,22,16,7,4,4,2,,,,,1,,,"Hes, Christopher A","Tatiparti, Venu Madhav",,,,,cah041000,christopher hess
ACCT,3331,5U1,,6,1,1,10,,,7,,,1,,,,,"Cready, William M","Gencer, Nur Pinar",,,,,yxz066000,yibin zhou
ACCT,3341,5U1,10,5,13,11,3,1,1,,,,,,,,,"Kromer, Jeffrey","Song, Dongye",,,,,jrk013000,jeffrey kromer
ACCT,3350,5U1,10,10,9,4,4,,,,,,,,,,,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,4334,5U1,,2,6,5,6,8,2,2,,,1,,,,,"Hes, Christopher A","Tatiparti, Venu Madhav",,,,,cah041000,christopher hess
ACCT,4336,5U1,,4,4,3,3,,,,,,,,,,,"Gurun, Umit","Gencer, Nur Pinar",,,,,dip101020,
ACCT,4340,0U1,8,9,3,3,4,3,2,,,1,,,2,,,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson
ACCT,4342,5U1,1,,7,3,1,3,,,,,,1,,,,"Johnson, Jennifer","Hagen, John C",,,,,jxj091000,jennifer johnson
ACCT,6194,SW1,,9,,,2,,,1,,,,,1,,,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson
ACCT,6202,0W1,,5,13,14,5,9,4,3,,,,,,,,"Janakiraman, Surya","Tatiparti, Venu Madhav",,,,,suryaj,surya janakiraman
ACCT,6287,XU1,,31,1,1,,,,,,,,,,,,"McNulty, Diane S",,,,,,dmcnulty,diane mcnulty
ACCT,6292,SW1,,8,,,1,,,,,,,,1,,,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt
ACCT,6301,5U1,,12,8,7,2,2,,,,,,,,,,"Ali, Ashiq","Sandhu, Gurvinder",,,,,srp065000,stephanie poindexter swaim
ACCT,6305,0W1,,3,11,4,5,4,2,,,,,,,,,"Janakiraman, Surya","Tatiparti, Venu Madhav",,,,,suryaj,surya janakiraman
ACCT,6313,5U1,,,8,5,1,,,,,,,,,,,"Lahiri, Atanu","Zhang, Hong",,,,,nxh141030,nate howe
ACCT,6320,0W1,,2,2,3,3,1,1,,,,,,,,,"Cavusoglu, Huseyin","Liu, Yihong",,,,,huseyin,huseyin cavusoglu
ACCT,6330,0W1,,5,,,7,,,2,,,,,,,,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready
ACCT,6331,0W1,,10,,,4,,,1,,,,,,,,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready
ACCT,6333,5U1,,18,,,13,,,4,,,,,,,,"Zolton, Kathy",,,,,,kxz121730,kathy zolton
ACCT,6338,0W1,,21,,1,10,,,,,,,,,,,"Goodrich, Mary Beth W","Nathan, Brad",,,,,goodrich,mary beth goodrich
ACCT,6344,0W1,,14,21,13,9,1,,,,,,,,,,"Gurun, Umit","Gencer, Nur Pinar",,,,,ugg041000,umit gurun
ACCT,6353,5U1,,7,13,5,1,,,,,,,,,,,"Solcher, Steven J",,,,,,jpg140630,john gamino
ACCT,6356,5U1,,17,8,4,,,,,,,,,,,,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,6367,5U1,,20,,,1,,,,,,,,,,,"Gamino, John P","Frost, Sandra M",,,,,jpg140630,john gamino
ACCT,6373,0W1,,51,,,16,,,,,,,,,,,"Barden, John P","Nathan, Brad",,,,,jpb063000,john barden
ACCT,6384,0W1,,43,8,2,1,,,1,,,,,,,,"Kromer, Jeffrey","Song, Dongye",,,,,jrk013000,jeffrey kromer
ACCT,6388,5U1,,14,1,1,,2,,,,,,,,,,"Goodrich, Mary Beth W","Nathan, Brad",,,,,goodrich,mary beth goodrich
ACN,6338,0U1,,17,,,10,,,1,,,,,,,,"Sultana, Rukhsana","Wilhelm, Rachel",,,,,rxs170431,rukhsana sultana
ACN,6V81,0U1,,33,5,1,,,,,,,,,,,,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams
AMS,2300,051,,13,1,2,,,,,,,,,,,,"Werhnyak, Larissa",,,,,,nxp174730,neall pogue
AMS,2341,0H2,,7,8,6,5,1,1,,,,,,1,,,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
AMS,3316,0W1,16,6,2,1,1,,,,,,,,,,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,3350,0W1,20,11,,,1,,,1,,,,,2,,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,4385,0W1,14,5,4,,1,1,,,,,,,4,,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
ARTS,1301,0U1,37,17,5,2,,2,,1,,,1,1,1,,,"Grandjean, Kelly","Alanis Perez, Alan Isaac",,,,,kxg190019,kelly grandjean
ARTS,1316,0U1,,7,1,2,3,,,1,1,,,,,,,"Metz, Greg L",,,,,,glmetz,greg metz
ARTS,3372,551,,12,2,,,1,2,,,,,,,,,"Loving, Emily",,,,,,exl097120,emily loving
ARTS,3379,591,,14,5,,,,,,,,,,1,,,"Loving, Emily",,,,,,exl097120,emily loving
ATCM,2301,051,3,2,1,7,2,2,2,,,,,,2,,,"Nielsen, Christina R",,,,,,crn022000,christina nielsen
ATCM,2335,0U1,,16,,1,3,,1,1,,1,,,3,,,"Stewart, Michael C",,,,,,mxs128231,michael stewart
ATCM,2335,0U2,,8,,1,4,,,1,,,,,2,,,"Stewart, Michael C",,,,,,mxs128231,michael stewart
ATCM,3301,0U1,2,7,1,,1,1,,1,3,,,,1,,,"Field, Jamie M",,,,,,lxi170030,laura imaoka
ATCM,3301,0U2,,5,9,4,,1,,,,,,,,,,"Mulla, Ayesha",,,,,,axm190114,ayesha mulla
ATCM,3301,0U3,,3,6,4,2,2,,,,,,1,,,,"Mulla, Ayesha",,,,,,axm190114,ayesha mulla
ATCM,3301,5U1,,4,8,1,,3,,,1,,1,,3,,,"Rheams, David C",,,,,,dcr093020,david rheams
ATCM,3306,0U1,1,5,4,3,2,,,,3,,1,,2,,,"Lewis, Timothy M",,,,,,cjc043000,christopher camacho
ATCM,3307,0U1,,,4,4,2,1,2,,,,,1,3,,,"McCord, Peter A",,,,,,pam062000,peter mccord
ATCM,3311,0U1,,1,3,3,2,3,1,4,3,,,2,3,,,"Lim, Fengjie",,,,,,fxl200000,fengjie lim
ATCM,3337,0U1,12,11,2,1,1,,,,,,2,,,,,"Wood, Harold G",,,,,,hgw021000,harold wood
ATCM,3337,5U1,7,4,2,3,1,,,1,,,,1,,,,"Lin, Colleen B",,,,,,cbl061000,
ATCM,3338,0U1,8,6,3,1,4,2,,,,,,,5,,,"Camacho, Christopher J",,,,,,awc051000,adam chandler
ATCM,3350,051,2,6,3,1,3,,1,1,1,,,,4,,,"Nielsen, Christina R",,,,,,crn022000,christina nielsen
ATCM,3368,0U1,2,4,,,,,,2,1,,,,1,,,"Chandler, Adam W",,,,,,awc051000,adam chandler
ATCM,3388,0U1,1,7,11,3,3,3,,,,,,2,,,,"Bell, Elizabeth A","Whitlock, Kathryn",,,,,lxb032000,elizabeth bell
ATCM,4317,0U1,,11,,,,,,,,,,,,,,"Fechter, Todd A",,,,,,taf051000,todd fechter
ATCM,4334,051,,11,6,3,2,1,,,,,,,,,,"Banner, Olivia P",,,,,,opb140030,olivia banner
ATCM,4338,0U1,1,5,1,1,1,1,,,,1,,,1,,,"Chandler, Adam W",,,,,,awc051000,adam chandler
