Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,2301,001,4,7,8,5,9,3,3,3,3,,,,1,21,2,,5,"Zhang, Jieying","Holstead, Cameron",,,,,yxh136230,yaqin hu
ACCT,2301,002,9,4,5,7,5,5,2,5,1,,,,1,25,1,,4,"Zhang, Jieying","Holstead, Cameron",,,,,mha100020,mine aksu
ACCT,2301,003,7,3,2,2,8,2,7,4,1,,,,,30,1,,8,"Huang, Ying","Song, Dongye",,,,,lxh110020,liya hou
ACCT,2301,004,7,2,5,5,6,7,4,4,,1,,,,28,4,,1,"Huang, Ying","Song, Dongye",,,,,mha100020,mine aksu
ACCT,2301,005,5,2,6,7,5,1,2,,1,2,,,6,5,12,,20,"Bowen, Richard M","Kim, Eun Sean",,,,,zxf140730,zhongwen fan
ACCT,2301,501,3,10,5,2,10,4,6,4,1,,,,1,23,,,6,"Huang, Ying","Song, Dongye",,,,,sxs110431,sharif esfahani
ACCT,2302,001,15,21,7,7,4,2,,1,,,,,,4,2,,2,"Pinto, Jedson P","Gencer, Nur Pinar",,,,,jpb063000,john barden
ACCT,2302,002,11,24,8,9,4,2,,2,,1,,,1,1,,,1,"Pinto, Jedson P","Gencer, Nur Pinar",,,,,kxz121730,kathy zolton
ACCT,2302,003,7,13,8,9,5,6,1,1,1,1,,,,16,,,2,"Sinha, Kirti","Tatiparti, Venu Madhav",,,,,kxz121730,kathy zolton
ACCT,2302,004,7,16,6,5,5,4,3,1,3,,,,,13,5,,2,"Sinha, Kirti","Tatiparti, Venu Madhav",,,,,jpb063000,john barden
ACCT,2302,005,3,16,6,6,12,,2,5,,3,2,1,,8,3,,2,"Dai, Zhonglan","Nathan, Brad",,,,,jpb063000,john barden
ACCT,2302,006,4,25,5,2,14,,,3,,3,3,,,7,3,,1,"Dai, Zhonglan","Nathan, Brad",,,,,zxd051000,zhonglan dai
