Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,2302,5U1,2,4,,4,10,,4,9,,2,1,,,,,,1,,"Zolton, Kathy","Johnson, Jennifer G","Zhou, Junfei",,,,cah041000,christopher hess
ACCT,3312,5U1,4,9,4,9,1,4,,,1,,,,,,,,,,"Johnson, Jennifer G","Zhou, Junfei",,,,,jxj091000,jennifer johnson
ACCT,3331,5U1,3,2,1,1,1,,5,,1,2,1,,1,,,,1,,"Zhou, Yibin","Chen, Hangu",,,,,yxz066000,yibin zhou
ACCT,3350,5U1,4,5,3,,3,3,4,4,1,2,,,,,,,,,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,4334,5U1,,1,4,3,6,1,3,1,1,,,,1,,,,,,"Hes, Christopher","Zhou, Junfei",,,,,cah041000,christopher hess
ACCT,6202,0W1,,13,12,15,13,6,3,2,,,,,2,,,,1,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman
ACCT,6301,5U1,,9,1,,,,,,,,,,,,,,,,"Solcher, Steven J",,,,,,srp065000,stephanie poindexter swaim
ACCT,6305,0W1,,3,5,4,2,1,1,,,,,,,,,,,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman
ACCT,6338,0W1,,6,,1,10,,,4,,,,,,,,,4,,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich
ACCT,6344,0W1,,14,22,4,6,6,1,,,,,,,,,,1,,"Gurun, Umit G","Yayvak, Berk",,,,,ugg041000,umit gurun
ACCT,6353,PPA,,7,9,7,1,2,,,,,,,,,,,,,"Solcher, Steven J",,,,,,sjs107020,steven solcher
ACCT,6365,5U1,,8,5,13,7,4,8,2,,,,,1,,,,,,"Cheng, Samuel",,,,,,sxc109021,samuel cheng
ACCT,6367,5U1,,23,12,1,6,1,,1,,,,,1,,,,,,"Gamino, John P","Frost, Sandra M",,,,,jpg140630,john gamino
ACCT,6377,5U1,,45,9,1,1,,,,,,,,,,,,,,"Ballew, Gregory","Liu, Ruichao",,,,,geb011100,gregory ballew
ACCT,6384,0W1,,39,10,3,4,2,,2,,,,,1,,,,,,"Kromer, Jeffrey R","Chen, Hangu",,,,,jrk013000,jeffrey kromer
ACCT,6392,5U1,,5,25,5,17,10,6,2,,,,,,,,,,,"Hes, Christopher",,,,,,cah041000,christopher hess
ACCT,6394,XH1,,20,,,,,,,,,,,,,,,,,"McNulty, Diane S","Hemmig, Ray",,,,,dmcnulty,diane mcnulty
ACN,6395,0W1,,20,,,,,,,,,,,,,,,,,"Hooge, Kimberley D",,,,,,koh170030,kimberley orsten hooge
AMS,2300,091,4,2,,,,,,3,,,1,,2,,,,,,"Hammonds, Kyle",,,,,,kxh230016,kyle hammonds
AMS,3316,0W1,11,6,1,1,,,1,,,,,,,,,,2,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,3350,0W1,6,2,1,2,,,,,,,,,,,,,3,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
ANGM,2309,0W1,1,11,1,,2,,,,2,,,,2,,,,,,"Fechter, Todd A","Khamsehnezhad, Mozhdeh",,,,,txg121730,troy griffin
ANGM,3305,0W1,,2,1,4,2,3,2,3,2,,,,5,,,,,,"Manriquez, Robert J",,,,,,rjm107020,
ANGM,3306,0W1,1,5,8,3,4,2,1,1,,,,,1,,,,1,,"Lewis, Timothy M",,,,,,tml062000,timothy lewis
ANGM,3307,0W1,,4,4,,2,2,,2,,,,,1,,,,,,"McCord, Peter A",,,,,,pam062000,peter mccord
ANGM,3308,0W1,7,5,1,1,3,4,1,2,,1,,,2,,,,1,,"Porritt, Joseph L",,,,,,jxp154530,
ANGM,3338,0W1,7,3,7,2,1,,,1,1,,,,3,,,,,,"Griffin, Troy",,,,,,txg121730,troy griffin
ANGM,3367,0W1,2,5,7,2,3,,2,,1,,1,,1,,,,,,"Lewis, Timothy M",,,,,,tml062000,timothy lewis
ANGM,3368,0W1,5,4,2,4,2,2,2,1,1,1,,2,1,,,,1,,"Chandler, Adam W",,,,,,awc051000,adam chandler
ARTS,1301,0W1,34,5,1,2,,1,1,1,,1,,,1,,,,,,"Wilder, James E","Daneshvarkashkooli, Marjan","Takaloubighash, Maryam",,,,kxg190019,kelly grandjean
ARTS,3379,0W1,,5,2,1,3,,,,,,,,4,,,,,,"Loving, Emily A",,,,,,exl097120,emily loving
ARTS,3383,0W1,,3,2,2,,,1,,,1,,,1,,,,,,"Higgins-Stirrup, Brynn",,,,,,bxh230012,brynn higgins stirrup
ATCM,2300,0W1,7,3,3,3,,3,2,2,2,,,1,,,,,,,"Martinez Ochoa, Angelica M","Welwood, Samantha F",,,,,hxc176430,heidi cooley
ATCM,2300,0W2,11,9,3,,1,,,,,,,,1,,,,1,,"Khatri, Hamida","Rahman, Mohammad K",,,,,hxk200055,
ATCM,2302,0U1,2,3,2,2,,2,,,1,,,,,,,,,,"Ashouri, Shaghayegh",,,,,,sxa210030,shaghayegh ashouri
ATCM,2321,0W1,,,7,3,4,2,1,,1,,,,,,,,,,"Whitlock, Kathryn","Vo, Angelene H",,,,,lxi170030,laura imaoka
ATCM,2330,0W1,,,1,,2,3,,,2,,,,2,,,,,,"Nielsen, Christina R","Ayodabo, Sunday J",,,,,crn022000,christina nielsen
ATCM,2350,0U1,3,4,2,,1,,,,,,,,,,,,,,"Yu, Yiding",,,,,,zch150030,zoey hoggatt
ATCM,3301,0W2,,6,3,,1,,2,1,,,,,3,,,,,,"Chowdhury, Nusrat Zahan","Rahman, Maruf",,,,,srm140030,stephen mallory
ATCM,3337,0W1,7,,,1,,,,,2,,,,1,,,,1,,"Wood, Harold G",,,,,,hgw021000,harold wood
ATCM,3350,0W1,4,3,3,,2,,1,1,,,,1,1,,,,,,"Hewitt, Sharon A",,,,,,sxh090220,sharon hewitt
ATCM,3388,0W1,5,5,7,,,1,,,,,,,,,,,,,"Fraley, James M","Hernandez, Luke A",,,,,lxb032000,james fraley
ATCM,4319,0S1,,23,1,,2,,,,,,,,1,,,,,,"McComber, Sean J",,,,,,sxm129130,sean mccomber
ATCM,4326,0W1,8,4,1,2,,,1,,1,,,,1,,,,,,"Heaslip, Audra","Cole, Abby",,,,,axh027000,audra heaslip
ATCM,4330,0W1,,3,3,2,1,,,1,,1,1,,1,,,,,,"Nielsen, Christina R","Amartey, Belinda",,,,,crn022000,christina nielsen
ATCM,4350,0W1,2,1,2,2,1,1,1,,1,,,,2,,,,,,"Hewitt, Sharon A",,,,,,sxh090220,sharon hewitt
ATCM,4384,551,4,12,,,,,,,,,,,,,,,,,"Sen Gupta, Karl S",,,,,,dcr093020,david rheams
AUD,6216,0U1,,10,3,1,1,,,,,,,,,,,,,,"Cokely, Carol G",,,,,,cgc016200,
AUD,6352,0U1,,27,,,2,,,,,,,,,,,,,,"Clark, Jackie L","Crow, Sarah E",,,,,jclark,jackie clark
AUD,7240,5U1,,3,3,4,3,,,,,,,,,,,,,,"Griffiths, Scott K",,,,,,skg180000,
AUD,7280,064,,,,,,,,,,,,,,,,,,15,"Fowler-Brookman, Stephanie L","Mosley, Cornetta",,,,,cgc016200,
AUD,7280,070,,,,,,,,,,,,,,,,,,14,"Clark, Jackie L",,,,,,jclark,jackie clark
AUD,7325,5U1,,14,,,,,,,,,,,,,,,,,"Thibodeau, Linda K","Mosley, Cornetta","Qi, Shuang",,,,thib,linda thibodeau
AUD,8V97,064,,,,,,,,,,,,,,,,,,14,"Cokely, Carol G",,,,,,cgc016200,carol cokely
BA,1320,0U1,2,3,3,2,3,2,,,,,,,,,,,,,"Blueshtein, Moran","Zhang, Qiyan",,,,,mxb135230,moran blueshtein
BA,4090,091,,,,,,,,,,,,,,35,,,,,"Henderson, Thomas C",,,,,,txh093000,tom henderson
BA,4090,092,,,,,,,,,,,,,,23,,,,,"Gamino, John P",,,,,,jpg140630,john gamino
BA,4090,0U1,,,,,,,,,,,,,,24,,1,,,"Henderson, Thomas C",,,,,,,thomas henderson
BA,4090,0U2,,,,,,,,,,,,,,19,,2,1,,"Gamino, John P",,,,,,jpg140630,john gamino
BA,4095,0W1,,,,,,,,,,,,,,37,,,,,"Owens, Dawn M",,,,,,sxa063000,shawn alborz
BA,4095,0W2,,,,,,,,,,,,,,10,,,,,"Owens, Dawn M",,,,,,dmo130130,dawn owens
BA,4V90,0U3,,,,,,,,,,,,,,28,,,,,"Henderson, Thomas C",,,,,,,thomas henderson
BA,4V90,593,,,,,,,,,,,,,,20,,,,,"Henderson, Thomas C",,,,,,,thomas henderson
BCOM,3300,051,1,6,12,3,8,3,,1,1,,,,3,,,,,,"Ali, Shazia",,,,,,shazia,ali shazia
BCOM,4300,0U2,,2,6,3,5,2,,1,1,,,,,,,,,,"Fry, Jennifer L",,,,,,meg012400,margaret smallwood
BCOM,4300,0U4,1,,4,5,6,2,2,1,1,2,,,,,,,1,,"Harrison, Megan",,,,,,kxl164330,kathryn lookadoo
BCOM,4300,5U1,4,5,3,1,,,,,,,,,,,,,1,,"McCrady, Victoria D",,,,,,kxt200010,katrina tamez
BCOM,4300,5U2,2,8,9,8,4,5,1,,1,,,,,,,,,,"Moore, Sarah E",,,,,,sem054000,sarah moore
