Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,2301,001,2,7,5,8,8,7,3,6,1,3,3,,9,,,,1,,"Zhang, Jieying","Ozel, Naim Bugra","Tazhibayev, Galymzhan","Banik, Dipta",,,yxh136230,yaqin hu
ACCT,2301,002,4,9,8,9,4,9,9,6,2,3,3,1,,,,,,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,,mha100020,mine aksu
ACCT,2301,003,9,9,4,6,4,5,12,3,1,3,1,,4,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,,lxh110020,liya hou
ACCT,2301,004,5,9,7,8,3,11,10,4,2,1,2,,3,,,,2,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,,mha100020,mine aksu
ACCT,2301,005,7,5,5,6,8,6,4,3,6,5,,2,6,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,,zxf140730,zhongwen fan
ACCT,2301,006,3,4,8,10,2,4,4,6,6,6,4,4,2,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,,hxk130930,hoyoun kyung
ACCT,2301,007,14,6,6,4,2,5,,,,,,,1,,,,2,,"Liu, Ruichao",,,,,,xxz142230,xiaolu zhou
ACCT,2301,501,7,3,4,7,3,2,3,2,,,1,,5,,,,2,,"Chen, Hangu",,,,,,sxs110431,sharif esfahani
ACCT,2301,HON,17,11,5,5,7,5,2,7,,,1,1,2,,,,1,,"Bortz, Tiffany A","Goel, Simran",,,,,amybass,amy troutman
ACCT,2302,001,22,3,5,11,2,4,1,2,1,,5,2,,,,,2,,"Kim, Tae Wook","Ai, Lanru",,,,,jpb063000,john barden
ACCT,2302,002,2,4,6,8,10,4,10,5,2,5,,,4,,,,,,"Sinha, Kirti","Kwon, Yeongmin",,,,,kxz121730,kathy zolton
ACCT,2302,003,3,7,9,4,4,11,6,5,2,2,4,1,1,,,,1,,"Sinha, Kirti","Kwon, Yeongmin",,,,,kxz121730,kathy zolton
ACCT,2302,004,2,5,1,4,6,1,3,7,7,2,5,,11,,,,5,,"Dai, Zhonglan","Zhou, Junfei",,,,,jpb063000,john barden
ACCT,2302,005,1,7,5,8,8,8,6,7,2,2,2,,3,,,,1,,"Sinha, Kirti","Kwon, Yeongmin",,,,,jpb063000,john barden
ACCT,2302,006,20,10,7,1,8,4,,5,2,,1,,1,,,,1,,"Zolton, Kathy","Shivaani, MV",,,,,zxd051000,zhonglan dai
ACCT,2302,007,22,2,10,13,1,3,,1,1,,,4,,,,,1,,"Kim, Tae Wook","Ai, Lanru",,,,,srp065000,stephanie poindexter swaim
ACCT,2302,008,1,6,,1,6,,4,4,2,1,6,,9,,,,6,,"Dai, Zhonglan","Zhou, Junfei",,,,,zxd051000,zhonglan dai
ACCT,2302,009,2,7,1,4,5,6,5,8,,,3,2,6,,,,4,,"Dai, Zhonglan","Zhou, Junfei",,,,,zxd051000,zhonglan dai
ACCT,2302,010,6,3,7,8,5,5,6,5,4,1,2,,4,,,,1,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman
ACCT,2302,501,8,9,5,5,8,3,6,6,1,3,1,2,,,,,,,"Pereira Pinto, Jedson","Kim, Jongha",,,,,cah041000,christopher hess
ACCT,3312,001,35,5,5,4,5,3,1,,,,,,1,,,,1,,"Pereira Pinto, Jedson","Kim, Jongha",,,,,jxj091000,jennifer johnson
ACCT,3312,002,16,4,3,16,6,5,4,3,1,,,2,,,,,,,"Pereira Pinto, Jedson","Kim, Jongha",,,,,jpp200002,jedson pinto
ACCT,3322,001,2,11,5,2,10,4,2,2,2,,2,,2,,,,1,,"Goodrich, Mary Beth W","Patne, Saylee Pramod",,,,,goodrich,mary beth goodrich
ACCT,3331,001,6,7,2,2,5,5,3,8,3,,2,2,,,,,1,,"Zhou, Yibin","Mariano, Dylan N",,,,,rlf092000,rebecca files
ACCT,3331,002,7,6,6,10,5,2,4,5,2,1,,,,,,,,,"Zhou, Yibin","Mariano, Dylan N",,,,,rlf092000,rebecca files
ACCT,3331,501,2,2,4,4,6,5,4,6,,,,,2,,,,3,,"Solcher, Steven J","Mariano, Dylan N",,,,,yxz122931,yuan zhang
ACCT,3332,001,5,9,2,5,8,1,3,5,1,5,5,6,3,,,,8,,"Bortz, Tiffany A","Goel, Simran",,,,,tabortz,tiffany bortz
ACCT,3332,501,,1,1,2,6,7,4,2,1,,3,,2,,,,3,,"Cheng, Samuel",,,,,,tabortz,tiffany bortz
ACCT,3341,001,6,5,5,7,7,6,2,4,6,,,,,,,,,,"Sadka, Gil","Parupati, Sunil K",,,,,nataraj,ramachandra natarajan
ACCT,3341,501,3,5,4,8,12,7,1,2,4,,,,2,,,,,,"Sadka, Gil","Parupati, Sunil K",,,,,srp065000,stephanie poindexter swaim
ACCT,3341,PPA,8,2,5,15,8,3,4,1,,,,,,,,,,,"Sadka, Gil","Parupati, Sunil K",,,,,gxs143630,gil sadka
ACCT,3350,501,1,5,12,11,9,9,5,5,2,,,,,,,,1,,"Frost, Sandra M","Mariano, Dylan N",,,,,jpg140630,john gamino
ACCT,3350,PPA,4,2,4,7,13,10,9,14,4,1,4,,1,,,,,,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,4301,501,3,4,5,7,11,6,4,3,2,1,,,,,,,1,,"Hagen, John","Shelke, Abhishek Anil",,,,,jch013200,john hagen
ACCT,4334,501,2,3,3,3,4,9,1,5,7,1,1,1,,,,,1,,"Hes, Christopher","Goel, Simran",,,,,ccl019000,chris linsteadt
ACCT,4337,501,2,7,4,5,8,5,3,3,,2,1,,1,,,,1,,"Ballew, Gregory","Radhakrishnan, Shivani",,,,,jan170230,joseph nketia
ACCT,4340,001,14,8,3,3,4,2,,2,,1,,,2,,,,,,"Johnson, Jennifer G","Surani, Sanya R",,,,,jxj091000,jennifer johnson
ACCT,4342,501,6,7,16,11,5,4,8,2,1,,,,,,,,1,,"Johnson, Jennifer G","Surani, Sanya R",,,,,jxj091000,jennifer johnson
ACCT,4342,PP1,10,12,6,6,2,2,,,,,,,,,,,,,"Johnson, Jennifer G","Surani, Sanya R",,,,,jxj091000,jennifer johnson
ACCT,4342,PP2,8,12,10,4,3,,1,,,,,,,,,,,,"Johnson, Jennifer G","Surani, Sanya R",,,,,jxj091000,jennifer johnson
ACCT,4V80,003,,,,,,,,,,,,,,13,,,,,"Bortz, Tiffany A","Radhakrishnan, Shivani",,,,,tabortz,tiffany bortz
ACCT,4V80,PPA,,,,,,,,,,,,,,69,,,,,"Bortz, Tiffany A","Radhakrishnan, Shivani",,,,,tabortz,tiffany bortz
ACCT,6202,501,,22,,4,8,,2,5,,,,,2,,,,1,,"Zolton, Kathy","Shivaani, MV",,,,,suryaj,surya janakiraman
ACCT,6202,GW1,,11,5,4,,,,,,,,,1,,1,,,,"Sadka, Gil",,,,,,gxs143630,gil sadka
ACCT,6202,MBC,,28,,4,7,,2,1,,,,,,,2,,,,"Zolton, Kathy","Shivaani, MV",,,,,kxz121730,kathy zolton
ACCT,6202,MBP,,17,,4,3,,1,1,,,,,,,,,,,"Zolton, Kathy","Shivaani, MV",,,,,kxz121730,kathy zolton
ACCT,6202,XH1,,10,3,3,1,,,1,,,,,,,,,,,"Sadka, Gil",,,,,,gxs143630,gil sadka
ACCT,6292,S91,,43,,,24,,,4,,,,,,,,,,,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello
ACCT,6293,S51,,37,,,34,,,,,,,,,,,,1,,"Betanzos, Christina L","Solcher, Steven J",,,,,clb120030,christina betanzos
ACCT,6301,501,,7,11,13,13,5,3,,,,,,3,,,,3,,"Ali, Ashiq","Kwon, Yeongmin",,,,,lxg152230,lale guler
ACCT,6301,5W1,,17,17,9,2,,,,,,,,,,,,2,,"Solcher, Steven J","Mariano, Dylan N",,,,,sjs107020,steven solcher
ACCT,6301,CH1,,19,,,1,,,,,,,,,,,,,,"Barden, John P",,,,,,jpb063000,john barden
ACCT,6305,001,,20,,,4,,,3,,,,,,,,,2,,"Loumioti, Maria","Shivaani, MV",,,,,nxl124130,ningzhong li
ACCT,6305,002,,9,,,4,,,1,,,,,,,,,,,"Loumioti, Maria","Shivaani, MV",,,,,nbo150030,naim ozel
ACCT,6305,501,,6,,,3,,,1,,,,,,,,,2,,"Loumioti, Maria","Shivaani, MV",,,,,nbo150030,naim ozel
ACCT,6313,0W1,,10,2,3,3,,,1,,,,,,,,,,,"Cavusoglu, Huseyin","Li, Baorui",,,,,huseyin,huseyin cavusoglu
ACCT,6330,0W1,,13,,3,16,,,14,,,,,1,,,,4,,"Cready, William M","Yayvak, Berk",,,,,wmc041000,william cready
ACCT,6331,5W1,,7,9,6,6,3,2,1,,,,,,,,,1,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman
ACCT,6332,501,,17,,,8,,1,6,,,,,1,,,,1,,"Zolton, Kathy","Shivaani, MV",,,,,dxk173030,daniel karnuta
ACCT,6333,0W1,,10,,,3,,,2,,,,,1,,,,,,"Zolton, Kathy","Shivaani, MV",,,,,kxz121730,kathy zolton
ACCT,6334,S01,,5,2,2,,,,,,,,,,,,,1,,"Hes, Christopher","Goel, Simran",,,,,cah041000,christopher hes
ACCT,6335,0W1,,18,13,10,7,3,,4,,,,,,,,,,,"Bortz, Tiffany A","Radhakrishnan, Shivani",,,,,amybass,amy troutman
ACCT,6335,PP1,,16,6,9,5,,,,,,,,,,,,,,"Bortz, Tiffany A","Radhakrishnan, Shivani",,,,,amybass,amy troutman
ACCT,6335,PP2,,17,5,6,6,,,,,,,,,,,,,,"Bortz, Tiffany A","Radhakrishnan, Shivani",,,,,tabortz,tiffany bortz
ACCT,6336,001,,19,14,10,8,2,,,,,,,,,,,1,,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello
ACCT,6338,0W1,,5,1,2,5,,,,,,,,,,,,3,,"Goodrich, Mary Beth W","Patne, Saylee Pramod",,,,,goodrich,mary beth goodrich
ACCT,6344,0W1,,10,12,12,21,,,,,,,,,,,,1,,"Gurun, Umit G","Yayvak, Berk",,,,,ugg041000,umit gurun
ACCT,6349,0W1,,9,6,,,,,,,,,,,,,,,,"Majumdar, Sumit K","Yang, Yunxuan M",,,,,skm021100,sumit majumdar
ACCT,6350,501,,10,12,4,7,1,,1,,,,,,,,,,,"Frost, Sandra M","Mariano, Dylan N",,,,,jpg140630,john gamino
ACCT,6353,501,,7,8,7,1,1,,,,,,,,,,,2,,"Solcher, Steven J","Mariano, Dylan N",,,,,jpg140630,john gamino
ACCT,6353,PP1,,7,16,9,2,,,,,,,,,,,,,,"Solcher, Steven J","Mariano, Dylan N",,,,,sjs107020,steven solcher
ACCT,6356,501,,34,,,,,,,,,,,,,,,,,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,6356,PP1,,26,4,4,,2,,,,,,,,,,,,,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,6374,501,,23,23,23,2,,,,,,,,,,,,,,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello
ACCT,6380,501,,6,8,9,3,,,,,,,,,,,,,,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello
ACCT,6384,501,,34,6,2,1,,2,1,,,,,,,,,,,"Kromer, Jeffrey R",,,,,,jrk013000,jeffrey kromer
ACCT,6384,S01,,8,,,1,,,,,,,,,,,,1,,"Kromer, Jeffrey R",,,,,,jrk013000,jeffrey kromer
ACCT,6388,0W1,,23,10,2,1,,,1,,,,,,,,,1,,"Goodrich, Mary Beth W","Patne, Saylee Pramod",,,,,goodrich,mary beth goodrich
ACCT,6V98,001,,,,,,,,,,,,,,,,,,11,"King, Mary G","Janakiraman, Surya N",,,,,,mary king
ACN,5313,001,,5,4,2,3,1,1,,,,,,,,,,2,,"Fearon, Danielle","Latteri, Christopher W",,,,,dxf220005,danielle fearon
ACN,6323,001,,17,2,,,,,,,,,,,,,,,,"Engineer, Crystal T",,,,,,rlr091000,robert rennaker
ACN,6330,001,,7,5,,2,1,,,,,,,,,,,,,"Seaman, Kendra L",,,,,,otoole,alice otoole
ACN,6331,001,,9,1,1,1,1,,,,,,,,,,,,,"Mills, Candice M",,,,,,njs092000,noah sasson
ACN,6332,001,,20,1,1,,,1,,,,,,,,,,,,"Raman, Rachna",,,,,,jdowling,walter j dowling
ACN,6338,002,,8,,,4,,,2,,,,,1,,,,,,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana
ACN,6340,001,,10,,1,,,,,,,,,,,,,,,"Gu, Zirong",,,,,,sxm127330,steven mcwilliams
ACN,6342,001,,10,2,,,,,,,,,,,,,,,,"Orrick, Erika D",,,,,,edo042000,erika orrick
ACN,6346,001,,5,,,7,,,2,,,,,,,,,2,,"Thorn, Catherine A",,,,,,tres,lucien thompson
ACN,6354,501,,22,,,,,,,,,,,,,,,,,"Estevez, Leonardo",,,,,,lwe071000,leonardo estevez
ACN,6374,0H1,,17,,,,,,,,,,,,,,,1,,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri
ACN,6375,0H1,,8,,1,,,,,,,,,,,,,1,,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri
ACN,6390,001,,17,1,2,,1,,1,,,,,,,,,,,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams
ACN,6V71,013,,,,,,,,,,,,,,,,,,12,"Golden, Richard M",,,,,,golden,richard golden
ACN,6V72,013,,,,,,,,,,,,,,,,,1,10,"Golden, Richard M",,,,,,golden,richard golden
ACN,6V81,0W1,,16,1,,,,,,,,,,,,,,1,,"Maqbool, Mohsin",,,,,,sxm127330,steven mcwilliams
ACN,7383,001,,9,,,2,,,,,,,,,,1,,,,"Rodrigue, Karen M",,,,,,kmr082000,karen rodrigue
ACTS,4301,001,5,2,1,1,,2,1,4,1,1,,1,1,,,,,,"Makhijani, Neha","Thomas, Yaga S",,,,,nah103020,natalia humphreys
ACTS,4305,001,1,1,1,2,1,3,,2,2,1,1,1,1,,,,,,"Humphreys, Natalia","Liu, Jingzhou","Kim, Jimi",,,,nah103020,natalia humphreys
ACTS,4308,001,1,5,,,1,1,,,,2,,,4,,,,,,"Makhijani, Neha",,,,,,nah103020,natalia humphreys
ACTS,4310,001,8,2,,2,2,3,,,,,,,,,,,,,"Hong, Liang","Kaluduwage, Madhavi Dilshani Anuruddhika F",,,,,lxh019000,liang hong
ACTS,4311,001,2,1,3,1,,2,6,1,,1,,,1,,,,,,"Humphreys, Natalia","Liu, Jingzhou",,,,,nah103020,natalia humphreys
AHST,1303,001,27,25,20,12,2,6,2,5,4,2,1,,3,,,,2,,"McDonald, Jacquelyn D","Khoshniat, Ahmad","Morgan, George D",,,,dgoode,dianne goode
AHST,1303,002,18,12,16,5,4,4,5,,,,1,2,2,,,,2,,"McDonald, Jacquelyn D","Harper, Joseph E","Dolatyari, Mahdi",,,,dgoode,dianne goode
AHST,2331,001,31,19,13,5,3,3,1,1,,,,,2,,,,,,"Alibhai, AliAsgar H","Razzaque, Farzana A","Esmail, Fatima N",,,,djd011500,debra dewitte
AHST,2331,002,,1,1,,3,3,,2,,,,,2,,,,1,,"Terranova, Charissa N",,,,,,cxt074100,charissa terranova
AHST,3316,001,2,7,10,6,,,,1,,,,,,,,,1,,"Rosen, Mark S",,,,,,dgoode,dianne goode
AHTC,2120,001,1,2,1,1,4,1,,,,,,,1,,,,,,"Lynch, Jennifer W",,,,,,jwl230003,jennifer lynch
AMS,2300,001,18,6,3,1,,,,1,1,,,,1,,,,,,"Hammonds, Kyle",,,,,,nxp174730,neall pogue
AMS,2300,002,29,7,1,,,,,,,,,,1,,,,,,"Lusk, Marc L",,,,,,nxp174730,neall pogue
AMS,2341,001,1,15,25,15,9,1,1,,,,,,1,,,,,,"Naqvi, Syed K",,,,,,lxw163630,larissa werhnyak
AMS,2341,002,,7,2,4,1,1,,,,,,,,,,,,,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
AMS,3302,001,,3,1,,3,1,,,,,,,2,,,,,,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
AMS,3316,0W1,8,12,3,2,2,4,,2,,,,,,,,,2,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,3350,0W1,12,6,6,1,2,1,,1,,,1,,4,,,,4,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,4300,5H1,3,2,3,1,1,2,,,,,,,,,,,,,"Ross, Alyssa N",,,,,,anr161130,alyssa ross
AMS,4379,001,4,,4,2,1,,1,1,1,,,,2,,,,,,"Jones, June A",,,,,,skn180000,syed naqvi
